Address,D_amount,D_chk,D_date,D_paidby,D_Roads,D_SewerTransmission,D_SewerCapacity,D_Parks,D_Stormwater,D_OpenSpace,P_amount,P_chk,P_date,P_paidby,P_Roads,P_SewerTransmission,P_Parks,P_Stormwater
2932 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2936 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2996 Polo Club Boulevard, 	845.38 ,1246,5/10/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,24947,11/4/02,ARTIQUE CUSTOM HOMES ,1153.00,503.00,148.00,1082.00
3000 Blackmoor Park Circle, 	845.38 ,1167,1/29/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20941,8/8/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3000 Polo Club Boulevard, 	845.38 ,1208,8/30/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,22847,1/28/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3000 Shaker Oaks Court, 	673.38 ,1659,7/18/01,Pickett Homes,,246.39,426.99,,,,2299.00,22222,3/27/02,Pickett Development Corporation,918.00,401.00,118.00,862.00
3001 Blackmoor Park Circle, 	845.38 ,1227,11/15/01,Pickett Homes,,309.33,536.06,,,,2886.00,22423,5/9/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3001 Quaker Hill Lane, 	673.38 ,1472,12/26/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,20533,5/25/01,Pickett Homes,918.00,401.00,118.00,862.00
3001 Roundway Down Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,145.04,3123,4/2/08,Bryant Road LLC,,145.04,,
3001 Sewanee Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,,4/2/08,Bryant Road LLC,,226.13,,
3004 Sewanee Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
3004 Shaker Oaks Court, 	673.38 ,1165,11/15/01,Artique Custom Homes,,246.39,426.99,,,,2299.00,24036,6/28/02,Artique Custom Homes,918.00,401.00,118.00,862.00
3005 Old House Road, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
3005 Roundway Down Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
3005 Shaker Oaks Court, 	673.38 ,1404,11/10/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,20539,3/28/01,Artique Custom Homes,918.00,401.00,118.00,862.00
3008 Blackmoor Park Circle, 	845.38 ,1176,3/19/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20941,8/8/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3008 Polo Club Boulevard, 	845.38 ,1248,6/28/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,25287,12/19/02,ARTIQUE CUSTOM HOMES,1153.00,503.00,148.00,1082.00
3008 Shaker Oaks Court, 	673.38 ,1144,9/5/00,North Fork Land Co. LLC,,246.39,426.99,,,,2299.00,20533,5/25/01,Pickett Homes,918.00,401.00,118.00,862.00
3009 Polo Club Boulevard, 	845.38 ,1112,3/15/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20633,6/8/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3012 Blackmoor Park Circle, 	845.38 ,1183,5/10/01,,,309.33,536.06,,,,2886.00,22258,11/2/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3016 Blackmoor Park Circle, 	845.38 ,1155,12/14/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20792,5/16/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3016 Polo Club Boulevard, 	845.38 ,1248,6/28/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,25074,11/26/02,ARTIQUE CUSTOM HOMES LLC,1153.00,503.00,148.00,1082.00
3017 Blackmoor Park Circle, 	845.38 ,1231,12/4/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,22346,4/18/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3020 Blackmoor Park Circle, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20356,4/26/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3020 Polo Club Boulevard, 	845.38 ,1164,1/22/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21886,9/24/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3021 Blackmoor Park Circle, 	845.38 ,1160,12/26/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20356,4/26/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3021 Polo Club Boulevard, 	845.38 ,1111,3/6/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,19997,1/8/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3024 Polo Club Boulevard, 	845.38 ,1155,12/14/00,Artique Custom Homes,,309.33,536.06,,,,2886.00,21220,6/25/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3025 Polo Club Boulevard, 	845.38 ,1111,3/6/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20539,3/28/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3028 Polo Club Boulevard, 	845.38 ,1118,4/11/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20049,2/26/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3029 Polo Club Boulevard, 	845.38 ,1126,5/18/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21554,8/6/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3033 Polo Club Boulevard, 	845.38 ,1145,9/18/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21220,6/25/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3044 Polo Club Boulevard, 	845.38 ,1322,9/5/00,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,20203,3/29/01,Pickett Homes,1153.00,503.00,148.00,1082.00
3048 Polo Club Boulevard, 	845.38 ,1228,11/15/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,23632,5/13/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3052 Polo Club Boulevard, 	845.38 ,1241,2/21/02,Pickett Homes ,,309.33,536.06,,,,2886.00,23072,9/12/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3056 Polo Club Boulevard, 	845.38 ,1199,7/9/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,22346,4/18/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3058 Polo Club Boulevard, 	845.38 ,1228,11/15/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,30328,4/19/04,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3060 Polo Club Boulevard, 	996.66 ,,1/19/06,"Polo Club Assoc, LLC",,364.68,631.98,,,,593.00,,1/19/06,"Polo Club Assoc, LLC",,593.00,,
3065 Polo Club Boulevard, 	996.66 ,1303,8/6/02,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,2036,8/9/02,"Bryant Road, LLC",1359.00,593.00,175.00,1276.00
3073 Polo Club Boulevard, 	996.66 ,2353,1/29/03,"Bryant Road, LLC - James McKee",,364.68,631.98,,,,3403.00,2353,1/29/03,"Bryant Road, LLC - James McKee",1359.00,593.00,175.00,1276.00
3084 Polo Club Boulevard, 	996.66 ,1214,6/14/00,Jon Byer Builder,,364.68,631.98,,,,3403.00,1515,2/14/01,"Bryant Road, LLC",1359.00,593.00,175.00,1276.00
3100 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3100 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3100 Sunningdale Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3101 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3101 Sunningdale Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3104 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3104 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3104 Sunningdale Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3105 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3105 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3105 Owls Head Lane," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
3105 Sunningdale Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3108 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3108 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3108 Owls Head Lane," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
3109 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3109 Owls Head Lane," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
3109 Sunningdale Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3112 Dunhill Court," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3112 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3116 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3120 Caversham Park Lane, 	845.38 ,1322,9/5/00,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,19994,2/13/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3120 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3124 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/23/01,"Bryant Road, LLC",,594.00,,
3125 Caversham Park Lane, 	845.38 ,1140,8/23/00,Artique Custom Homes,,309.33,536.06,,,,2886.00,20299,3/6/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3128 Caversham Park Lane, 	845.38 ,1183,5/10/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21886,9/27/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3128 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3129 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3132 Caversham Park Lane, 	845.38 ,1238,2/20/02,Artique Custom Homes,,309.33,536.06,,,,2886.00,25165,12/9/02,ARTIQUE CUSTOM HOMES LLC,1153.00,503.00,148.00,1082.00
3132 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3136 Caversham Park Lane, 	845.38 ,1235,2/20/02,Artique Custom Homes,,309.33,536.06,,,,2886.00,25232,12/10/02,ARTIQUE CUSTOM HOMES LLC,1153.00,503.00,148.00,1082.00
3137 Caversham Park Lane, 	845.38 ,1138,7/26/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,19897,12/26/00,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3137 Oakhurst Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
3140 Caversham Park Lane, 	845.38 ,21305,7/10/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,36115,11/16/01,"McBrayer, McGinnis, Leslie & Kirkland",1153.00,503.00,148.00,1082.00
3141 Caversham Park Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.00,19994,2/13/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3145 Caversham Park Lane, 	845.38 ,1135,6/26/00,Pickett Homes,,309.33,536.06,,,,2886.00,20203,3/29/01,Pickett Homes,1153.00,503.00,148.00,1082.00
3148 Caversham Park Lane, 	845.38 ,21305,7/10/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,22401,12/5/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3149 Caversham Park Lane, 	845.38 ,1138,7/26/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20539,3/28/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3153 Caversham Park Lane, 	845.38 ,1164,1/23/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,13903,7/3/01,"McBrayer, McGinnis, Leslie & Kirkland",1153.00,503.00,148.00,1082.00
3156 Caversham Park Lane, 	845.38 ,1245,5/10/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,24947,11/4/02,ARTIQUE CUSTOM HOMES LLC,1153.00,503.00,148.00,1082.00
3157 Caversham Park Lane, 	845.38 ,1238,2/20/02,Artique Custom Homes,,309.33,536.06,,,,2886.00,24310,8/15/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3160 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21508,11/16/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3161 Caversham Park Lane, 	845.38 ,1156,12/9/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20498,5/16/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3164 Caversham Park Lane, 	845.38 ,1176,3/19/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20941,8/8/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3165 Caversham Park Lane, 	845.38 ,1720,8/30/01,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,22946,2/11/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3168 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21191,9/24/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3169 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21259,10/10/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3172 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20858,7/19/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3173 Caversham Park Lane, 	845.38 ,1185,5/22/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21191,9/24/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3173 Roundway Down Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
3180 Caversham Park Lane, 	845.38 ,1164,1/23/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21554,8/6/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3181 Caversham Park Lane, 	845.38 ,1164,1/22/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21655,8/22/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3185 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20709,6/27/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3189 Caversham Park Lane, 	845.38 ,1185,5/22/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21191,9/24/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3193 Caversham Park Lane, 	845.38 ,1156,12/9/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21061,8/31/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3196 Caversham Park Lane, 	845.38 ,1152,11/10/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21886,9/24/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3197 Caversham Park Lane, 	845.38 ,1185,5/22/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21259,10/10/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3200 Caversham Park Lane, 	845.38 ,1145,9/18/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21886,9/24/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3200 Polo Club Boulevard, 	996.66 ,1440,3/20/01,"Bryant Road, LLC",,364.68,631.98,,,,593.00,,1/19/06,"Polo Club Assoc, LLC",,593.00,,
3200 Winged Foot Circle, 	996.66 ,,1/19/06,"Polo Club Assoc, LLC",,364.68,631.98,,,,593.00,,1/19/06,"Polo Club Assoc, LLC",,593.00,,
3201 Caversham Park Lane, 	845.38 ,1150,11/3/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21767,1/7/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
3201 Polo Club Boulevard, 	996.66 ,3955,2/8/01,Mac Building & Remodeling,,364.68,631.98,,,,3403.00,1980,7/5/01,Mark A. Maddox,1359.00,593.00,175.00,1276.00
3204 Polo Club Boulevard, 	996.66 ,1440,3/20/01,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,22815,3/29/02,"McBrayer, McGinnis, Leslie & Kirkland",1359.00,593.00,175.00,1276.00
3205 Caversham Park Lane, 	845.38 ,1183,5/10/01,,,309.33,536.06,,,,2886.00,22401,12/5/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
3205 Winged Foot Circle, 	996.66 ,,1/19/06,"Polo Club Assoc, LLC",,364.68,631.98,,,,593.00,,1/19/06,"Polo Club Assoc, LLC",,593.00,,
3213 Royal Troon Road, 	673.38 ,1070,5/25/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,23857,7/18/02,"McBrayer, McGinnis, Leslie & Kirkland",918.00,401.00,118.00,862.00
3216 Polo Club Boulevard, 	996.66 ,3820,11/3/00,Mac Building & Remodeling,,364.68,631.98,,,,3403.00,4101,5/18/01,Mac Building & Remodeling,1359.00,593.00,175.00,1276.00
3216 Royal Troon Road, 	673.38 ,1058,2/29/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6075,4/5/01,"McKee Builders, Inc.
McKee Builders",918.48,400.55,118.25,861.94
3217 Royal Troon Road, 	673.38 ,1069,4/10/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6075,4/5/01,"McKee Builders, Inc.",918.48,400.55,118.25,861.94
3221 Polo Club Boulevard, 	996.66 ,1321,8/31/00,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,17265,8/20/01,"McBrayer, McGinnis, Leslie & Kirkland",1359.00,593.00,175.00,1276.00
3228 Royal Troon Road, 	673.38 ,1076,2/29/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6075,4/5/01,"McKee Builders, Inc.",918.48,400.55,118.25,861.94
3229 Royal Troon Road, 	673.38 ,1066,9/27/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6478,5/8/01,"McKee Builders, Inc.",918.48,400.55,118.25,861.94
3232 Polo Club Boulevard, 	996.66 ,,1/19/06,"Polo Club Assoc, LLC",,364.68,631.98,,,,593.00,,1/19/06,"Polo Club Assoc, LLC",,593.00,,
3233 Royal Troon Road, 	673.38 ,1065,9/27/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6478,5/8/01,"McKee Builders, Inc.",918.48,400.55,118.25,861.94
3241 Royal Troon Road, 	673.38 ,1148,5/25/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,6075,4/5/01,"McKee Builders, Inc.",918.48,400.55,118.25,861.94
3244 Royal Troon Road, 	673.38 ,1075,11/30/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,14125,7/17/01,"McBrayer, McGinnis, Leslie & Kirkland",918.00,401.00,118.00,862.00
3304 Old House Road, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
3316 Royal Troon Road, 	673.38 ,7716,10/9/00,Main Street Home,,246.39,426.99,,,,2299.00,9579,2/4/02,Main Street Homes,918.00,401.00,118.00,862.00
3345 Royal Troon Road, 	673.38 ,1199,8/29/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.22,8875,6/11/01,Main Street Homes,918.48,400.55,118.25,861.94
3349 Royal Troon Road, 	673.38 ,1262,7/31/00,Main Street Home,,246.39,426.99,,,,2299.22,8532,3/9/01,"Crystal Foster 
(Main Street Homes)",918.48,400.55,118.25,861.94
3373 Royal Troon Road, 	673.38 ,1145,4/13/00,"Bryant Road, LLC",,246.39,426.99,,,,2000.00,8532,3/9/01,"Crystal Foster 
(Main Street Homes)",619.26,400.55,118.25,861.94
3760 Horsemint Trail," 	2,077.00 ",007487,7/10/01,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,9049,2/11/02,"JTN Homes, Inc.",510.00,715.00,101.00,1505.00
3781 Horsemint Trail," 	2,077.00 ",8788,1/7/02,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,37248,2/20/02,"McBrayer, McGinnis, Leslie & Kirkland",510.00,715.00,101.00,1505.00
3797 Horsemint Trail," 	2,077.00 ",11235,11/6/02,JIMMY NASH HOMES,510.00,715.00,410.00,101.00,,341.00,2831.00,14798,12/15/03,Jimmy Nash,510.00,715.00,101.00,1505.00
3809 Horsemint Trail," 	2,077.00 ",7853,8/23/01,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,9725,5/7/02,"JTN Homes, Inc.",510.00,715.00,101.00,1505.00
3809 Still Meadow Lane," 	2,077.00 ",9506,4/11/02,James T. Nash Builders,510.00,715.00,410.00,101.00,,341.00,2831.00,32410,6/10/02,"McBrayer, McGinnis, Leslie & Kirkland",510.00,715.00,101.00,1505.00
3812 Horsemint Trail," 	2,077.00 ",3237,7/7/03,Jimmy Nash Homes,510.00,715.00,410.00,101.00,,341.00,2831.00,154097,4/29/04,Jimmy Nash Homes,510.00,715.00,101.00,1505.00
3824 Horsemint Trail," 	2,077.00 ",6560,2/5/01,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,8997,2/6/02,"JTN Homes, Inc.",510.00,715.00,101.00,1505.00
3824 Still Meadow Lane," 	2,077.00 ",11377,11/21/02,JIMMY NASH HOMES,510.00,715.00,410.00,101.00,,341.00,2831.00,13900,9/15/03,Jimmy Nash,510.00,715.00,101.00,1505.00
3825 Horsemint Trail," 	2,077.00 ",7628,7/30/01,James T. Nash Builders,510.00,715.00,410.00,101.00,,341.00,2831.00,9278,3/12/02,James T. Nash Builders,510.00,715.00,101.00,1505.00
3836 Real Quiet Lane," 	4,040.00 ",2310,9/25/07,JJK Thomas,987.00,481.00,594.00,320.00,,1658.00,2610.00,2350,9/25/07,JJK Thomas,987.00,481.00,320.00,822.00
3853 Real Quiet Lane," 	4,040.00 ",none,6/23/09,Nash,987.00,481.00,594.00,320.00,,1658.00,2610.00,NA,6/23/09,Nash,987.00,481.00,320.00,822.00
512 Sundrop Path," 	2,077.00 ",154904,7/21/04,Jimmy Nash,510.00,715.00,410.00,101.00,,341.00,2831.00,154951,7/27/04,Jimmy Nash,510.00,715.00,101.00,1505.00
524 Sundrop Path," 	2,077.00 ",6559,2/1/01,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,7445,6/22/01,"JTN Homes, Inc.",510.00,715.00,101.00,1505.00
525 Sundrop Path," 	2,077.00 ",2698,2/20/01,North Fork Land Co. LLC,510.00,715.00,410.00,101.00,,341.00,2831.00,24709,6/18/02,"McBrayer, McGinnis, Leslie & Kirkland",510.00,715.00,101.00,1505.00
528 Sundrop Path," 	2,077.00 ",6558,2/1/01,"JTN Homes, Inc.",510.00,715.00,410.00,101.00,,341.00,2831.00,13262,7/7/03,Jimmy Nash Homes,510.00,715.00,101.00,1505.00
