Row Labels,Sum of TotalCredits,Address,Sum of total credit,,DIFFERENCE,,Non-Sewer1,Non-Sewer2,Sewer,chk,NOTES
,,"168 Ellerslie Park Boulevard 1 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 2 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 3 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 4 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 5 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1800 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1801 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1804 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1805 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1808 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1811 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1824 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1825 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1828 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1829 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1832 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1833 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1836 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1837 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1856 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1857 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1860 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1863 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1864 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1868 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1869 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1872 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1876 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"192 Somersly Place  Lexington, KY"," 	5,138.44 ",," 	(5,138.44)",,-2190.21,-1179.34,-1768.89,-5138.44,REMOVE CREDITS-DEVELOPER PAID 12/6/2011 CHK #2353 Gale Properties
,,"196 Somersly Place  Lexington, KY"," 	4,817.29 ",," 	(4,817.29)",,-3158.96,,-1658.33,-4817.29,REMOVE CREDITS-DEVELOPER PAID 6/11/13 CHK #10750 marlinrob
,,"200 Ellerslie Park Boulevard  Lexington, KY"," 	4,817.29 ",," 	(4,817.29)",,-3158.96,,-1658.33,-4817.29,REMOVE CREDITS-DEVELOPER PAID 4/24/06 CHK #001686 Delong Estates
,,"208 Kelburn Court  Lexington, KY"," 	4,046.52 ",," 	(4,046.52)",,-2653.52,,-1393,-4046.52,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; DATED 3/22/2007
,,"2144 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; furthermore this one doesn't exist cgalt 10/12/15
,,"216 Ellerslie Park Boulevard  Lexington, KY"," 	4,817.29 ",," 	(4,817.29)",,-3158.96,,-1658.33,-4817.29,"REMOVE CREDITS-DEVELOPER PAID 1/18/12 CHK #009020 Webb, Hoskins, Glover & Thompson PSC"
,,"217 Grassland Park  Lexington, KY"," 	4,204.92 ",," 	(4,204.92)",,-2695.84,,-1509.08,-4204.92,REMOVE CREDITS-DEVELOPER PAID 5/26/11 CHK #179645 Jimmy Nash
,,"233 Grassland Park  Lexington, KY"," 	4,204.92 ",," 	(4,204.92)",,-2695.84,,-1509.08,-4204.92,REMOVE CREDITS-DEVELOPER PAID 9/4/12 CHK #182920 Jimmy Nash
,,"241 Grassland Park  Lexington, KY"," 	4,204.92 ",," 	(4,204.92)",,-2695.84,,-1509.08,-4204.92,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"269 Grassland Park  Lexington, KY"," 	4,216.18 ",," 	(4,216.18)",,-2721.56,,-1494.62,-4216.18,REMOVE CREDITS-DEVELOPER PAID 9/20/13 CHK #2314 Gatewood Arnold
,,"278 Somersly Place  Lexington, KY"," 	3,660.12 ",," 	(3,660.12)",,-2355.36,,-1304.76,-3660.12,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"281 Hannah Todd Place  Lexington, KY"," 	1,611.71 ",," 	(1,611.71)",,-1095.55,,-516.16,-1611.71,REMOVE CREDITS-DEVELOPER PAID 9/3/08 CHK #8122 Commonwealth
,,"289 Hannah Todd Place  Lexington, KY"," 	1,611.71 ",," 	(1,611.71)",,-1095.55,,-516.16,-1611.71,REMOVE CREDITS-DEVELOPER PAID 3/18/11 CHK #019338 Commonwealth
,,"2981 deleted address Constantine Avenue  Lexington, KY"," 	3,809.71 ",," 	(3,809.71)",,-2750.02,,-1059.69,-3809.71,REMOVE CREDITS-invalid address
,,"3148 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3152 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3156 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3160 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3164 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3168 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3172 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; cgalt 10/12/15
,,"3408 Larch Tree Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3412 Larch Tree Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3416 Larch Tree Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3646 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3647 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3651 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3655 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3659 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3663 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3664 Bay Springs Park  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3745 Branham Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3752 Branham Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3760 Branham Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3761 Branham Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-DEVELOPER PAID 6/25/13 chk#007 Barlow Homes
,,"3808 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3809 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3812 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3813 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3817 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3818 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3826 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3830 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3836 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3841 Branham Park  Lexington, KY"," 	5,856.19 ",," 	(5,856.19)",,-3768.58,,-2087.61,-5856.19,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3853 Branham Park  Lexington, KY", 	665.46 ,, 	(665.46),,-428.33,,-237.23,-665.56,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3857 Branham Park  Lexington, KY"," 	4,886.69 ",," 	(4,886.69)",,-3436.47,,-1450.22,-4886.69,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3861 Branham Park  Lexington, KY"," 	4,886.69 ",," 	(4,886.69)",,-3436.47,,-1450.22,-4886.69,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3873 Branham Park  Lexington, KY"," 	4,216.18 ",," 	(4,216.18)",,-2721.56,,-1494.62,-4216.18,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"3945 Branham Park  Lexington, KY"," 	4,046.52 ",," 	(4,046.52)",,-2653.52,,-1393,-4046.52,REMOVE CREDITS-DEVELOPER PAID 10-10-13 chk#10834 Rob Marlin
,,"3945 Morning Glory Lane  Lexington, KY"," 	8,363.69 ",," 	(8,363.69)",,-6460.39,,-1903.3,-8363.69,REMOVE CREDITS & ALL BALANCES-invalid address; duplicate cgalt 7/17/18
,,"3945 Tatton Park  Lexington, KY"," 	4,565.31 ",," 	(4,565.31)",,-2993.72,,-1571.59,-4565.31,REMOVE CREDITS-CITIZEN PAID 7-03-13 Notes:Stephen spoke w/ Amelia Confides.  She stated that customer/citizen wanted to pay for exaction fees before his bldg. permit was issued to avoid incrse
,,"3961 Tatton Park  Lexington, KY"," 	4,565.31 ",," 	(4,565.31)",,-2993.72,,-1571.59,-4565.31,REMOVE CREDITS-DEVELOPER PAID 3-22-07 chk#191257 Jimmy Nash
,,"3977 Branham Park  Lexington, KY"," 	4,046.52 ",," 	(4,046.52)",,-2653.52,,-1393,-4046.52,REMOVE CREDITS-DEVELOPER PAID 5-14-13 chk#10747 Rob Marlin
,,"4020 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4022 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4024 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4026 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4028 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4030 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4032 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4034 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4056 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4058 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4060 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4062 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4160 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4164 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4180 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4186 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4188 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4221 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4229 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4233 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4234 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4241 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4257 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"432 Weston Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"433 Weston Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4440 Stuart Hall Boulevard  Lexington, KY"," 	2,158.55 ",," 	(2,158.55)",,,,-2158.55,-2158.55,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; Note:This is lot 68 and per plat M-413 this is a non build lot and is to be consolidated to the Fayette County Schools
,,"477 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"481 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"485 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"496 Weston Park  Lexington, KY"," 	4,886.69 ",," 	(4,886.69)",,-3436.47,,-1450.22,-4886.69,REMOVE CREDITS-NONE HAVE BEEN ISSUED