COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
3413 Sweet Clover Lane,686.91,,"3413 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3424 Sweet Clover Lane,686.91,,"3424 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
209 Grassland Park,2860.93,,"209 Grassland Park  Lexington, KY","$3,538.03 ",($677.10),,1256.8,,,226.35,976.44,401.34,0
261 Grassland Park,4538.63,,"261 Grassland Park  Lexington, KY","$5,395.36 ",($856.73),,1256.8,1000.6,,226.35,1653.54,401.34,0
4739 Foxglove Point,2220.77,,"4739 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4740 Foxglove Point,2220.77,,"4740 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4744 Foxglove Point,2220.77,,"4744 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4745 Foxglove Point,2220.77,,"4745 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4748 Foxglove Point,2220.77,,"4748 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4749 Foxglove Point,2220.77,,"4749 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4752 Foxglove Point,2220.77,,"4752 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4753 Foxglove Point,2220.77,,"4753 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4753 Larkhill Lane,2220.77,,"4753 Larkhill Lane  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4756 Foxglove Point,2220.77,,"4756 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4769 Foxglove Point,2220.77,,"4769 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4772 Foxglove Point,2220.77,,"4772 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
1806 Falling Leaves Lane,349.33,,"1806 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1814 Falling Leaves Lane,349.33,,"1814 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1818 Falling Leaves Lane,349.33,,"1818 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1822 Falling Leaves Lane,349.33,,"1822 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1826 Falling Leaves Lane,349.33,,"1826 Falling Leaves Lane  Lexington, KY",1986.67,"($1,637.34)",,,349.33,,,,,0
1830 Falling Leaves Lane,349.33,,"1830 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1834 Falling Leaves Lane,349.33,,"1834 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1838 Falling Leaves Lane,349.33,,"1838 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1842 Falling Leaves Lane,349.33,,"1842 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1846 Falling Leaves Lane,349.33,,"1846 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1850 Falling Leaves Lane,349.33,,"1850 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1854 Falling Leaves Lane,349.33,,"1854 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1858 Falling Leaves Lane,349.33,,"1858 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1862 Falling Leaves Lane,349.33,,"1862 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1866 Falling Leaves Lane,349.33,,"1866 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1870 Falling Leaves Lane,349.33,,"1870 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1874 Falling Leaves Lane,349.33,,"1874 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1877 Falling Leaves Lane,349.33,,"1877 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1878 Falling Leaves Lane,349.33,,"1878 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1881 Falling Leaves Lane,349.33,,"1881 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1885 Falling Leaves Lane,349.33,,"1885 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1889 Falling Leaves Lane,349.33,,"1889 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1893 Falling Leaves Lane,349.33,,"1893 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1894 Falling Leaves Lane,349.33,,"1894 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1897 Falling Leaves Lane,349.33,,"1897 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1898 Falling Leaves Lane,349.33,,"1898 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1901 Falling Leaves Lane,349.33,,"1901 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1905 Falling Leaves Lane,349.33,,"1905 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1909 Falling Leaves Lane,349.33,,"1909 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1912 Falling Leaves Lane,349.33,,"1912 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1913 Falling Leaves Lane,349.33,,"1913 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1917 Falling Leaves Lane,349.33,,"1917 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1921 Falling Leaves Lane,349.33,,"1921 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1925 Falling Leaves Lane,349.33,,"1925 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1929 Falling Leaves Lane,349.33,,"1929 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1933 Falling Leaves Lane,349.33,,"1933 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1937 Falling Leaves Lane,349.33,,"1937 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1941 Falling Leaves Lane,349.33,,"1941 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1945 Falling Leaves Lane,349.33,,"1945 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1946 Falling Leaves Lane,349.33,,"1946 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1949 Falling Leaves Lane,349.33,,"1949 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1950 Falling Leaves Lane,349.33,,"1950 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1953 Falling Leaves Lane,349.33,,"1953 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1954 Falling Leaves Lane,349.33,,"1954 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1957 Falling Leaves Lane,349.33,,"1957 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1958 Falling Leaves Lane,349.33,,"1958 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1961 Falling Leaves Lane,349.33,,"1961 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1962 Falling Leaves Lane,349.33,,"1962 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1965 Falling Leaves Lane,349.33,,"1965 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1969 Falling Leaves Lane,349.33,,"1969 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1973 Falling Leaves Lane,349.33,,"1973 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1977 Falling Leaves Lane,349.33,,"1977 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1981 Falling Leaves Lane,349.33,,"1981 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1985 Falling Leaves Lane,349.33,,"1985 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1989 Falling Leaves Lane,349.33,,"1989 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1993 Falling Leaves Lane,349.33,,"1993 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1994 Falling Leaves Lane,349.33,,"1994 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1997 Falling Leaves Lane,349.33,,"1997 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2001 Falling Leaves Lane,349.33,,"2001 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2005 Falling Leaves Lane,349.33,,"2005 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2009 Falling Leaves Lane,349.33,,"2009 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2013 Falling Leaves Lane,349.33,,"2013 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2017 Falling Leaves Lane,349.33,,"2017 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2021 Falling Leaves Lane,349.33,,"2021 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2025 Falling Leaves Lane,349.33,,"2025 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2029 Falling Leaves Lane,349.33,,"2029 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2033 Falling Leaves Lane,349.33,,"2033 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2037 Falling Leaves Lane,349.33,,"2037 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2041 Falling Leaves Lane,349.33,,"2041 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2045 Falling Leaves Lane,349.33,,"2045 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2049 Falling Leaves Lane,349.33,,"2049 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2053 Falling Leaves Lane,349.33,,"2053 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2057 Falling Leaves Lane,349.33,,"2057 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2061 Falling Leaves Lane,349.33,,"2061 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2064 Falling Leaves Lane,349.33,,"2064 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2065 Falling Leaves Lane,349.33,,"2065 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2068 Falling Leaves Lane,349.33,,"2068 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2070 Falling Leaves Lane,349.33,,"2070 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2073 Falling Leaves Lane,349.33,,"2073 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2074 Falling Leaves Lane,349.33,,"2074 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2076 Falling Leaves Lane,349.33,,"2076 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2077 Falling Leaves Lane,349.33,,"2077 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2080 Falling Leaves Lane,349.33,,"2080 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2081 Falling Leaves Lane,349.33,,"2081 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2084 Falling Leaves Lane,349.33,,"2084 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2085 Falling Leaves Lane,349.33,,"2085 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2088 Falling Leaves Lane,349.33,,"2088 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2089 Falling Leaves Lane,349.33,,"2089 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2092 Falling Leaves Lane,349.33,,"2092 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2093 Falling Leaves Lane,349.33,,"2093 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2096 Falling Leaves Lane,349.33,,"2096 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2097 Falling Leaves Lane,349.33,,"2097 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
2098 Falling Leaves Lane,349.33,,"2098 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3001 Falling Leaves Lane,349.33,,"3001 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3002 Falling Leaves Lane,349.33,,"3002 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3005 Falling Leaves Lane,349.33,,"3005 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3006 Falling Leaves Lane,349.33,,"3006 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3008 Falling Leaves Lane,349.33,,"3008 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3009 Falling Leaves Lane,349.33,,"3009 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3010 Falling Leaves Lane,349.33,,"3010 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3013 Falling Leaves Lane,349.33,,"3013 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3014 Falling Leaves Lane,349.33,,"3014 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3017 Falling Leaves Lane,349.33,,"3017 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3018 Falling Leaves Lane,349.33,,"3018 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3021 Falling Leaves Lane,349.33,,"3021 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3022 Falling Leaves Lane,349.33,,"3022 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3025 Falling Leaves Lane,349.33,,"3025 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3028 Falling Leaves Lane,349.33,,"3028 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3029 Falling Leaves Lane,349.33,,"3029 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3700 Sunflower Street,349.33,,"3700 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3704 Sunflower Street,349.33,,"3704 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3708 Sunflower Street,349.33,,"3708 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3709 Sunflower Street,349.33,,"3709 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3712 Sunflower Street,349.33,,"3712 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3716 Sunflower Street,349.33,,"3716 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3717 Sunflower Street,349.33,,"3717 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3720 Sunflower Street,349.33,,"3720 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3723 Sunflower Street,349.33,,"3723 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3724 Sunflower Street,349.33,,"3724 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3728 Sunflower Street,349.33,,"3728 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3732 Sunflower Street,349.33,,"3732 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3736 Sunflower Street,349.33,,"3736 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3740 Sunflower Street,349.33,,"3740 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3749 Hardwood Road,349.33,,"3749 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3750 Hardwood Road,349.33,,"3750 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3751 Sunflower Street,349.33,,"3751 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3752 Sunflower Street,349.33,,"3752 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3753 Hardwood Road,349.33,,"3753 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3754 Hardwood Road,349.33,,"3754 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3755 Sunflower Street,349.33,,"3755 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3756 Sunflower Street,349.33,,"3756 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3757 Hardwood Road,349.33,,"3757 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3758 Hardwood Road,349.33,,"3758 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3759 Sunflower Street,349.33,,"3759 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3760 Sunflower Street,349.33,,"3760 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3761 Hardwood Road,349.33,,"3761 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3762 Hardwood Road,349.33,,"3762 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3763 Sunflower Street,349.33,,"3763 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3764 Sunflower Street,349.33,,"3764 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3765 Hardwood Road,349.33,,"3765 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3766 Hardwood Road,349.33,,"3766 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3767 Sunflower Street,349.33,,"3767 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3768 Sunflower Street,349.33,,"3768 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3769 Hardwood Road,349.33,,"3769 Hardwood Road  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3771 Sunflower Street,349.33,,"3771 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
3772 Sunflower Street,349.33,,"3772 Sunflower Street  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
4128 Needlerush Drive,9539.43,,"4128 Needlerush Drive  Lexington, KY","$14,434.36 ","($4,894.93)",credits stmwtr=4455.14; open=439.79,2320.17,3915.81,1843.93,1456.83,,2.69,0
4132 Needlerush Drive,9539.43,,"4132 Needlerush Drive  Lexington, KY","$14,434.36 ","($4,894.93)",credits stmwtr=4455.14; open=439.79,2320.17,3915.81,1843.93,1456.83,,2.69,0
4141 Needlerush Drive,9539.43,,"4141 Needlerush Drive  Lexington, KY","$14,434.36 ","($4,894.93)",credits stmwtr=4455.14; open=439.79,2320.17,3915.81,1843.93,1456.83,,2.69,0
4145 Needlerush Drive,9539.43,,"4145 Needlerush Drive  Lexington, KY","$14,434.36 ","($4,894.93)",credits stmwtr=4455.14; open=439.79,2320.17,3915.81,1843.93,1456.83,,2.69,0
4756 Larkhill Lane,9539.43,,"4756 Larkhill Lane  Lexington, KY","$14,434.36 ","($4,894.93)",credits stmwtr=4455.14; open=439.79,2320.17,3915.81,1843.93,1456.83,,2.69,0
444 Weston Park,1849.89,,"444 Weston Park  Lexington, KY","$7,245.25 ","($5,395.36)",credits swr trans=$1417.51; swr cap=439.82;roads=1256.80;parks=226.35;stmwtr=1653.55;open=401.33,284.47,27.28,222.87,339.77,975.5,,0
454 Weston Park,1849.89,,"454 Weston Park  Lexington, KY","$7,245.25 ","($5,395.36)",credits swr trans=$1417.51; swr cap=439.82;roads=1256.80;parks=226.35;stmwtr=1653.55;open=401.33,284.47,27.28,222.87,339.77,975.5,,0
456 Weston Park,1849.89,,"456 Weston Park  Lexington, KY","$7,245.25 ","($5,395.36)",credits swr trans=$1417.51; swr cap=439.82;roads=1256.80;parks=226.35;stmwtr=1653.55;open=401.33,284.47,27.28,222.87,339.77,975.5,,0
465 Weston Park,1849.89,,"465 Weston Park  Lexington, KY","$7,245.25 ","($5,395.36)",credits swr trans=$1417.51; swr cap=439.82;roads=1256.80;parks=226.35;stmwtr=1653.55;open=401.33,284.47,27.28,222.87,339.77,975.5,,0
500 Weston Park,1849.89,,"500 Weston Park  Lexington, KY","$7,245.25 ","($5,395.36)",credits swr trans=$1417.51; swr cap=439.82;roads=1256.80;parks=226.35;stmwtr=1653.55;open=401.33,284.47,27.28,222.87,339.77,975.5,,0
1000 Polo Club Boulevard,21768,,"1000 Polo Club Boulevard  Lexington, KY","$36,180.85 ","($14,412.85)",,,21768,,,,,0
1500 Fitzgerald Court,340951.74,,"1500 Fitzgerald Court  Lexington, KY","$355,961.90 ","($15,010.16)",,,164726.84,176224.9,,,,0